CaseID,Activity,StartTime,EndTime,Resource
GWF0001,Intake,2026-09-01T08:00:00.073809201,2026-09-01T08:04:14.413595001,Ops_2
GWF0001,Validate,2026-09-01T08:05:17.695839838,2026-09-01T08:13:28.591395039,Analyst_3
GWF0001,Auto_Check,2026-09-01T08:15:10.992360399,2026-09-01T08:17:43.157526292,System
GWF0001,QA,2026-09-01T08:18:34.297808958,2026-09-01T08:24:38.455067974,QA_2
GWF0001,Complete,2026-09-01T08:25:38.455067974,2026-09-01T08:25:50.455067974,System
GWF0002,Intake,2026-09-01T08:04:34.171917317,2026-09-01T08:08:32.767829838,Ops_1
GWF0002,Validate,2026-09-01T08:10:23.626925671,2026-09-01T08:16:58.451754564,Analyst_3
GWF0002,Review,2026-09-01T08:17:57.193063053,2026-09-01T08:27:30.428705116,Analyst_4
GWF0002,QA,2026-09-01T08:31:13.502143678,2026-09-01T08:38:37.915935971,QA_1
GWF0002,Complete,2026-09-01T08:39:37.915935971,2026-09-01T08:39:49.915935971,System
GWF0003,Intake,2026-09-01T08:10:27.678426249,2026-09-01T08:14:25.350380869,Ops_1
GWF0003,Validate,2026-09-01T08:15:58.749650449,2026-09-01T08:22:13.494987774,Analyst_2
GWF0003,Auto_Check,2026-09-01T08:24:50.540760447,2026-09-01T08:26:31.128666700,System
GWF0003,QA,2026-09-01T08:27:50.224841920,2026-09-01T08:33:37.546721140,QA_1
GWF0003,Review,2026-09-01T08:37:19.997434774,2026-09-01T08:48:41.952562073,Analyst_3
GWF0003,QA,2026-09-01T08:51:47.254840948,2026-09-01T08:57:51.847128694,QA_1
GWF0003,Complete,2026-09-01T08:58:51.847128694,2026-09-01T08:59:03.847128694,System
GWF0004,Intake,2026-09-01T08:16:34.568413822,2026-09-01T08:21:39.791938065,Ops_1
GWF0004,Validate,2026-09-01T08:23:35.573418705,2026-09-01T08:32:48.463653480,Analyst_1
GWF0004,Review,2026-09-01T08:34:47.673074562,2026-09-01T08:53:27.747614099,Analyst_2
GWF0004,QA,2026-09-01T08:57:33.112782570,2026-09-01T09:04:16.122391288,QA_1
GWF0004,Complete,2026-09-01T09:05:16.122391288,2026-09-01T09:05:28.122391288,System
GWF0005,Intake,2026-09-01T08:22:40.034853650,2026-09-01T08:27:49.083938049,Ops_1
GWF0005,Validate,2026-09-01T08:29:25.178096360,2026-09-01T08:37:35.140878093,Analyst_2
GWF0005,Review,2026-09-01T08:40:11.249761831,2026-09-01T08:54:09.596426565,Analyst_2
GWF0005,QA,2026-09-01T08:59:14.307425356,2026-09-01T09:04:15.189924032,QA_1
GWF0005,Complete,2026-09-01T09:05:15.189924032,2026-09-01T09:05:27.189924032,System
GWF0006,Intake,2026-09-01T08:25:30.454812949,2026-09-01T08:29:08.222659431,Ops_2
GWF0006,Validate,2026-09-01T08:31:15.933108749,2026-09-01T08:41:30.388730010,Analyst_1
GWF0006,Review,2026-09-01T08:43:44.682485839,2026-09-01T08:58:52.141451730,Analyst_3
GWF0006,QA,2026-09-01T09:02:21.323655864,2026-09-01T09:09:53.056671919,QA_1
GWF0006,Complete,2026-09-01T09:10:53.056671919,2026-09-01T09:11:05.056671919,System
GWF0007,Intake,2026-09-01T08:31:53.155971410,2026-09-01T08:35:52.602940944,Ops_2
GWF0007,Validate,2026-09-01T08:37:57.586774229,2026-09-01T08:48:08.120332520,Analyst_2
GWF0007,Review,2026-09-01T08:50:36.961439095,2026-09-01T09:05:25.588833235,Analyst_3
GWF0007,Exception,2026-09-01T09:09:25.200064866,2026-09-01T09:24:57.932091268,Senior_1
GWF0007,QA,2026-09-01T09:30:29.133295667,2026-09-01T09:34:57.194925104,QA_1
GWF0007,Complete,2026-09-01T09:35:57.194925104,2026-09-01T09:36:09.194925104,System
GWF0008,Intake,2026-09-01T08:38:39.843167742,2026-09-01T08:44:27.591485813,Ops_2
GWF0008,Validate,2026-09-01T08:45:32.639790370,2026-09-01T08:53:25.253883034,Analyst_1
GWF0008,Review,2026-09-01T08:56:18.918521021,2026-09-01T09:11:35.673151667,Analyst_4
GWF0008,Exception,2026-09-01T09:16:26.250484435,2026-09-01T09:33:16.147734812,Senior_1
GWF0008,QA,2026-09-01T09:38:19.323551191,2026-09-01T09:43:44.419935206,QA_1
GWF0008,Review,2026-09-01T09:46:03.238024301,2026-09-01T10:01:46.545231231,Analyst_4
GWF0008,QA,2026-09-01T10:04:50.831942547,2026-09-01T10:10:08.277901141,QA_1
GWF0008,Complete,2026-09-01T10:11:08.277901141,2026-09-01T10:11:20.277901141,System
GWF0009,Intake,2026-09-01T08:42:00.135222425,2026-09-01T08:45:05.827663839,Ops_1
GWF0009,Validate,2026-09-01T08:45:31.970652584,2026-09-01T08:56:03.404372903,Analyst_1
GWF0009,Review,2026-09-01T08:57:09.591742085,2026-09-01T09:10:12.037365180,Analyst_4
GWF0009,QA,2026-09-01T09:14:21.465852126,2026-09-01T09:23:13.889239586,QA_1
GWF0009,Complete,2026-09-01T09:24:13.889239586,2026-09-01T09:24:25.889239586,System
GWF0010,Intake,2026-09-01T08:49:13.565023669,2026-09-01T08:53:05.891409302,Ops_2
GWF0010,Validate,2026-09-01T08:55:08.849012094,2026-09-01T09:03:10.216683467,Analyst_3
GWF0010,Review,2026-09-01T09:05:37.759543657,2026-09-01T09:19:26.284192715,Analyst_2
GWF0010,QA,2026-09-01T09:24:56.793183302,2026-09-01T09:33:23.726128987,QA_1
GWF0010,Complete,2026-09-01T09:34:23.726128987,2026-09-01T09:34:35.726128987,System
GWF0011,Intake,2026-09-01T08:54:40.398884399,2026-09-01T08:58:13.507793974,Ops_1
GWF0011,Validate,2026-09-01T09:00:27.222954781,2026-09-01T09:08:46.694136095,Analyst_2
GWF0011,Auto_Check,2026-09-01T09:11:02.297893729,2026-09-01T09:12:42.933591466,System
GWF0011,QA,2026-09-01T09:14:12.706627344,2026-09-01T09:20:12.295637881,QA_2
GWF0011,Review,2026-09-01T09:22:35.676492460,2026-09-01T09:39:32.098221985,Analyst_4
GWF0011,QA,2026-09-01T09:41:22.305055465,2026-09-01T09:47:07.291482390,QA_1
GWF0011,Complete,2026-09-01T09:48:07.291482390,2026-09-01T09:48:19.291482390,System
GWF0012,Intake,2026-09-01T09:01:14.095602555,2026-09-01T09:05:12.970294464,Ops_1
GWF0012,Validate,2026-09-01T09:06:45.113549792,2026-09-01T09:14:23.863910767,Analyst_3
GWF0012,Review,2026-09-01T09:16:27.977637991,2026-09-01T09:28:35.242871632,Analyst_2
GWF0012,Exception,2026-09-01T09:31:07.683472897,2026-09-01T09:50:35.552061535,Senior_2
GWF0012,QA,2026-09-01T09:55:32.510922405,2026-09-01T10:01:52.807854156,QA_2
GWF0012,Manager_Approval,2026-09-01T10:03:43.751826019,2026-09-01T10:15:21.035278793,Manager_1
GWF0012,Complete,2026-09-01T10:16:21.035278793,2026-09-01T10:16:33.035278793,System
GWF0013,Intake,2026-09-01T09:07:10.590499215,2026-09-01T09:11:43.255025997,Ops_2
GWF0013,Validate,2026-09-01T09:12:56.347884196,2026-09-01T09:19:27.095262435,Analyst_2
GWF0013,Review,2026-09-01T09:22:42.672699158,2026-09-01T09:38:13.123935342,Analyst_3
GWF0013,QA,2026-09-01T09:43:09.387835221,2026-09-01T09:51:32.312347813,QA_1
GWF0013,Complete,2026-09-01T09:52:32.312347813,2026-09-01T09:52:44.312347813,System
GWF0014,Intake,2026-09-01T09:10:15.204416502,2026-09-01T09:14:56.567124197,Ops_1
GWF0014,Validate,2026-09-01T09:16:52.775697602,2026-09-01T09:29:15.708594768,Analyst_1
GWF0014,Auto_Check,2026-09-01T09:32:56.961977490,2026-09-01T09:34:16.433859563,System
GWF0014,QA,2026-09-01T09:35:31.137862625,2026-09-01T09:40:59.786745196,QA_1
GWF0014,Complete,2026-09-01T09:41:59.786745196,2026-09-01T09:42:11.786745196,System
GWF0015,Intake,2026-09-01T09:14:53.401172741,2026-09-01T09:19:05.847525717,Ops_2
GWF0015,Validate,2026-09-01T09:20:37.179102405,2026-09-01T09:29:10.632370695,Analyst_3
GWF0015,Review,2026-09-01T09:30:59.327621541,2026-09-01T09:46:24.330102856,Analyst_4
GWF0015,Exception,2026-09-01T09:49:14.367077100,2026-09-01T10:13:46.071398517,Senior_1
GWF0015,QA,2026-09-01T10:19:22.658966813,2026-09-01T10:24:53.622422084,QA_2
GWF0015,Complete,2026-09-01T10:25:53.622422084,2026-09-01T10:26:05.622422084,System
GWF0016,Intake,2026-09-01T09:21:36.801487976,2026-09-01T09:25:46.181068027,Ops_1
GWF0016,Validate,2026-09-01T09:27:26.863056691,2026-09-01T09:37:03.556696636,Analyst_1
GWF0016,Review,2026-09-01T09:41:10.764424006,2026-09-01T10:00:17.223923351,Analyst_4
GWF0016,QA,2026-09-01T10:04:16.213782781,2026-09-01T10:10:34.796339635,QA_1
GWF0016,Review,2026-09-01T10:13:30.837377778,2026-09-01T10:26:44.454512007,Analyst_2
GWF0016,QA,2026-09-01T10:30:39.873859862,2026-09-01T10:36:38.327835034,QA_2
GWF0016,Complete,2026-09-01T10:37:38.327835034,2026-09-01T10:37:50.327835034,System
GWF0017,Intake,2026-09-01T09:27:18.475646971,2026-09-01T09:29:43.973409831,Ops_2
GWF0017,Validate,2026-09-01T09:30:53.399231419,2026-09-01T09:38:56.146773643,Analyst_1
GWF0017,Review,2026-09-01T09:42:30.157646447,2026-09-01T09:54:23.923047891,Analyst_4
GWF0017,QA,2026-09-01T09:59:45.327200469,2026-09-01T10:06:49.647132209,QA_1
GWF0017,Review,2026-09-01T10:09:51.490344763,2026-09-01T10:25:06.798493449,Analyst_4
GWF0017,QA,2026-09-01T10:28:17.152319050,2026-09-01T10:33:02.065797303,QA_2
GWF0017,Complete,2026-09-01T10:34:02.065797303,2026-09-01T10:34:14.065797303,System
GWF0018,Intake,2026-09-01T09:32:48.945175320,2026-09-01T09:37:41.449767763,Ops_1
GWF0018,Validate,2026-09-01T09:39:07.321138474,2026-09-01T09:48:06.526443554,Analyst_2
GWF0018,Auto_Check,2026-09-01T09:49:32.943457123,2026-09-01T09:52:07.993219537,System
GWF0018,QA,2026-09-01T09:52:59.648711828,2026-09-01T10:01:09.103616728,QA_2
GWF0018,Manager_Approval,2026-09-01T10:03:07.263294333,2026-09-01T10:15:19.745897354,Manager_1
GWF0018,Complete,2026-09-01T10:16:19.745897354,2026-09-01T10:16:31.745897354,System
GWF0019,Intake,2026-09-01T09:38:43.839177226,2026-09-01T09:42:35.282756583,Ops_2
GWF0019,Validate,2026-09-01T09:44:40.925583099,2026-09-01T09:54:17.043705621,Analyst_2
GWF0019,Review,2026-09-01T09:58:00.434265520,2026-09-01T10:12:38.653901496,Analyst_2
GWF0019,QA,2026-09-01T10:14:27.847540679,2026-09-01T10:22:54.637453816,QA_2
GWF0019,Complete,2026-09-01T10:23:54.637453816,2026-09-01T10:24:06.637453816,System
GWF0020,Intake,2026-09-01T09:44:42.929336350,2026-09-01T09:48:30.833020017,Ops_2
GWF0020,Validate,2026-09-01T09:49:54.725007245,2026-09-01T09:59:00.589797310,Analyst_1
GWF0020,Review,2026-09-01T10:01:57.262816596,2026-09-01T10:15:55.590486002,Analyst_4
GWF0020,QA,2026-09-01T10:19:09.870594908,2026-09-01T10:26:55.472452288,QA_1
GWF0020,Complete,2026-09-01T10:27:55.472452288,2026-09-01T10:28:07.472452288,System
GWF0021,Intake,2026-09-01T09:49:55.988306551,2026-09-01T09:54:37.923892205,Ops_1
GWF0021,Validate,2026-09-01T09:55:56.147774799,2026-09-01T10:04:31.605575834,Analyst_3
GWF0021,Review,2026-09-01T10:07:06.866105497,2026-09-01T10:22:17.432451584,Analyst_2
