CaseID,Activity,StartTime,EndTime,Resource
C0001,Intake,2026-09-01T09:00:27.424537177,2026-09-01T09:03:37.505300077,Ops_A
C0001,Validate,2026-09-01T09:05:41.365629867,2026-09-01T09:11:47.241407228,Analyst_3
C0001,Review,2026-09-01T09:13:13.484482733,2026-09-01T09:29:57.586260570,Analyst_3
C0001,QA,2026-09-01T09:33:15.220989261,2026-09-01T09:42:39.222518287,QA_1
C0001,Complete,2026-09-01T09:44:06.276307254,2026-09-01T09:44:18.276307254,System
C0002,Intake,2026-09-01T09:08:12.075840802,2026-09-01T09:11:30.829802583,Ops_A
C0002,Validate,2026-09-01T09:12:26.310028953,2026-09-01T09:24:11.724065109,Analyst_2
C0002,Review,2026-09-01T09:27:08.129399517,2026-09-01T09:42:24.706308860,Analyst_2
C0002,QA,2026-09-01T09:47:06.162771011,2026-09-01T09:54:28.132347558,QA_2
C0002,Complete,2026-09-01T09:55:36.903005102,2026-09-01T09:55:48.903005102,System
C0003,Intake,2026-09-01T09:15:37.145935043,2026-09-01T09:19:57.825343187,Ops_B
C0003,Validate,2026-09-01T09:21:13.194402597,2026-09-01T09:30:11.725275108,Analyst_3
C0003,Review,2026-09-01T09:32:13.133638674,2026-09-01T09:54:44.086988927,Analyst_3
C0003,QA,2026-09-01T09:58:03.268211691,2026-09-01T10:07:13.532232776,QA_1
C0003,Complete,2026-09-01T10:08:26.567935215,2026-09-01T10:08:38.567935215,System
C0004,Intake,2026-09-01T09:21:30.104126344,2026-09-01T09:25:41.247869851,Ops_B
C0004,Validate,2026-09-01T09:27:19.120659333,2026-09-01T09:39:03.692112686,Analyst_2
C0004,Review,2026-09-01T09:42:19.790992197,2026-09-01T10:00:36.009968874,Analyst_4
C0004,QA,2026-09-01T10:06:51.764555974,2026-09-01T10:14:17.240064607,QA_2
C0004,Complete,2026-09-01T10:15:01.906996249,2026-09-01T10:15:13.906996249,System
C0005,Intake,2026-09-01T09:29:35.237197389,2026-09-01T09:34:46.994380328,Ops_A
C0005,Validate,2026-09-01T09:36:51.852401093,2026-09-01T09:43:29.908028499,Analyst_3
C0005,Review,2026-09-01T09:46:05.796306340,2026-09-01T10:06:26.489665866,Analyst_2
C0005,Exception,2026-09-01T10:13:01.691334089,2026-09-01T10:35:15.244688729,Senior_2
C0005,QA,2026-09-01T10:44:23.941070917,2026-09-01T10:52:03.280203829,QA_2
C0005,Complete,2026-09-01T10:52:41.213348964,2026-09-01T10:52:53.213348964,System
C0006,Intake,2026-09-01T09:38:14.744466964,2026-09-01T09:42:21.580902295,Ops_B
C0006,Validate,2026-09-01T09:44:16.438375041,2026-09-01T09:53:25.168057480,Analyst_2
